user_id,public,completion_percentage,gender,region,AGE,I_am_working_in_field,spoken_languages,hobbies,I_most_enjoy_good_food,pets,body_type,my_eyesight,eye_color,hair_color,hair_type,completed_level_of_education,favourite_color,relation_to_smoking,relation_to_alcohol,sign_in_zodiac,on_pokec_i_am_looking_for,love_is_for_me,relation_to_casual_sex,my_partner_should_be,marital_status,children,relation_to_children,I_like_movies,I_like_watching_movie,I_like_music,I_mostly_like_listening_to_music,the_idea_of_good_evening,I_like_specialties_from_kitchen,fun,I_am_going_to_concerts,my_active_sports,my_passive_sports,profession,I_like_books,life_style,music,cars,politics,relationships,art_culture,hobbies_interests,science_technologies,computers_internet,education,sport,movies,travelling,health,companies_brands
956,1,60,1,zilinsky kraj	cadca,27,null,null,fotografovanie	pocuvanie hudby	diskoteky	party	priatelia	spanie	nakupovanie	sex,v dobrej restauracii,null,null,vyborny,hnede,cierne,kratke,stredoskolske,cervena	cierna	modra,fajcim prilezitostne,pijem prilezitostne,skorpion,niekoho na chatovanie,nie je nic lepsie	ako byt zamilovany(a),sex mozem mat iba s niekym	koho dobre poznam,moj najlepsi priatel,slobodny(a),null,null,akcne	horory	komedie	romanticke	vojnove	eroticke,v kine,disko	hitparadovky	sladaky,null,pocuvat dobru hudbu,slovenskej,null,null,auto-moto sporty,auto-moto sporty	hokej	posilnovanie,null,zivotopisne a pamate,null,null,tuning-3,null,null,null,null,null,null,null,null,null,null,null,null
1273,1,86,0,banskobystricky kraj	revuca,14,null,nemecky	anglicky	slovensky,pc hry	citanie	pozeranie filmov	tancovanie	party	nakupovanie	malovanie	surfovanie po webe	diskoteky	kino	fotografovanie	kupalisko	jedlo	spanie,pri telke	v dobrej restauracii	v posteli,pes,chuda,vyborny,modre,null,rovne,zakladne,modra	cierna,nefajcim,pijem prilezitostne,vodnar,niekoho na chatovanie	dobreho priatela	priatelku,v laske vidim zmysel zivota	nie je nic lepsie	ako byt zamilovany(a),nedokazem mat s niekym sex bez lasky,mojou chybajucou polovickou	laskou mojho zivota	moj najlepsi priatel	absolutne zodpovedny a spolahlivy	hlavne dobry milenec,slobodny(a),v buducnosti chcem mat,null,rodinne	fantasy	komedie	sci-fi	romanticke	serialy,v kine	doma z gauca	u priatela	priatelky,pop	rock	punk,kedykolvek a kdekolvek	na posteli	v aute	pri chodzi	na diskoteke,pc hry	surfovat na sieti a chatovat	citat dobru knihu	pozerat dobry film v tv,slovenskej	talianskej	francuzskej,naj-kamarati-navzdi	preco-sa-trapit-ked-si-mozem-uzivat-xd	snehulienka-a-sedem-trpaslikov	zbierame-zazitki-napis-aspon-jeden	nikto-nie-je-dokonaly-az-dokym-nie-je-sam-sebou	kecar,zriedkavo,volejbal	plavanie	korculovanie	behanie,hokej	lyzovanie	futbal	tenis	volejbal	plavanie	basketbal	auto-moto sporty,null,null,som-kto-som	som-taka-aka-som-a-nebudem-sa-menit-kvoli-komplexom-druhych	tancujem-kazdi-den	scene-girls-1	pimpong	prepacte-vsetci-ktorym-som-ublizila	dance-is-in-the-first-place-we-love-dancing-and-live-dance-xd	super-styl	aj-zeny-su-super,prekliata-skola	bez-hudby-ani-den	rap-hip-hop-forever	break-dance-hip-hop-4ever	rbd-suprr-haluz-neeeeee-xd	youtube-6,null,null,pozvi-sem-cloveka-ktoremu-chces-povedat-dakujem-za-to-ze-si	ja-a-moje-naj-kamosky-a-kamosi	rukov-pisem-ale-srdcom-volam-laaaaaaaaaskaaaaa	plnis-moje-sny-uz-jen-tim-ze-zijes,revuca,cely-pokec-napchame-do-tohto-klubu	tanec-hip-hop-break-dance	hip-hop-klub-navzdi	dance-to-forever	juhu-uz-sa-tesim-na-prazdniny	dancing-is-fun	kamarati-navzdy-7	ira-vampira,vsetkyy-baby-sem-budeme-mat-vjac-clenov-ako-chalani,do-tohto-klubu-natrieskame-komplet-celyy-pokec,najj-ziaci-z-zs-hviezdoslavky,futbal-je-najlepsi-priatel-cloveka	slovensko-zije-futbalom-3	sport-je-in	lionel-messi-je-najlepsi,ake-filmi-ta-bavia	fanusikovia-upirskych-dennikov	upir-sladka,null,anti-bieber-i	miminka-su-krase,null
1304,1,53,0,trnavsky kraj	senica,15,studujem,nemecky,null,null,null,chuda,vyborny,modre,prefarbene,kratke,zakladne,cierna	biela,nefajcim,abstinent,blizenci,null,null,null,null,null,null,null,null,null,null,null,null,null,leto-2-0-1-0-nezabudnem-nikedy-o	jakub-ressler	pribinaacek-d	xd-xd-xd-xd-xd-xd-xd-xd-xd-xd-xd-xd-xd-xd-xd-xd-xd-xd-xd-xd-xd-xd-xd-xd-xd-xd-xd-xd-xd-xd-xd-xd-xd-xd-xd-xd-xd-xd-xd-xd-xd-xd-xd-xd-xd-xd-xd-xd-xd-xd-xd-xd-xd-xd-xd-xd-xd-xd-xd-xd-xd-xd-xd-xd-xd-xd-xd	photo-maniacs-d	domix-and-nunu-xd-was-lubia,null,null,null,stredna skola,null,-85102	som-aka-som-niesom-dokonala-ale-vynimocna-taku-ako-som-ja-uz-nikde-nenajdes	i-pokec-sport-disco-concerts-fun-and-my-friends	vsetky-holky-z-celeho-pokecu-pojte-semmmmmm	ine-kafe-6	sexovat-by-sa-malo-v-den-zacinajuci-na-p-teda-v-pondelok-piatok-aj-predvcerom-pozajtra-tiez-po-ranajkach-popoludni-a-vobec-kazdy-posrany-den-dd	najprv-je-vsetko-super-staci-blbost-a-zrazu-je-vsetko-prec	lamka-jedna-lamka-dva-lubia-sa	best-friends-mvr,alesana	rytmuus-d	avrilka-lavigne,null,null,ked-ti-odomna-pride-pozvanka-mam-ta-rada	zeny-treba-lubit-1	ja-ta-luubimm-a-to-doslovaaa	ked-ta-ma-dakto-rad-cen-si-to-aj-ja-ta-mam-rada-ked-ti-poslem-pozvanku	lubite-ma-d	slnecny-den-a-usmiata-tvar-tak-si-ta-navzdy-zapametam-d,comics-salon,upravovanie-foto,eminem-official,nenavidim-fake-rov-na-pokeci,null,bmx-street-team-senica	buuure	3-snb-3	baseball-4-ever	povstante-zilincaniaaaaaa-xdd,null,null,null,null
1305,0,29,0,trnavsky kraj	senica,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubertaaci-sem	ze-ja-racej-niekedy-nedrzim-hubu-d	za-chvilu-uz-do-skoly-fuuuuj-d	mazoretky-tk-gymnik-luxet-senica	xp-pit-sice-budem-ale-fajcit-neprestanem-xp,null,null,null,null,null,som-kto-som	chcem-ist-do-ameriky-x	the-best-mtr-vas	ine-kafe-6	call-of-duty-4-modern-warfare	najprv-je-vsetko-super-staci-blbost-a-zrazu-je-vsetko-prec,gdragonball	taio-cruz-dynamite	kiss-zahorie,null,null,ked-ti-odomna-pride-pozvanka-mam-ta-rada	milujeem-len-tebaa-cmuq-d	milujem-len-teba-5	chces-kiss-pridaj-sa	pozvi-sem-cloveka-ktoremu-chces-povedat-dakujem-za-to-ze-si	nenavidiim-taa	lubiim-iba-tebaa-cmuq,null,i-sexi-boys,null,do-tohto-klubu-natrieskame-komplet-celyy-pokec,zase-do-skoly-bose-neeeeee-fuuuuj,futbal-nas-bavi	srdce-pre-slovan-1,null,null,we-are-the-world-we-are-the-children,null
1311,1,74,0,zilinsky kraj	liptovsky mikulas,0,null,svoj	anglicky	nemecky,praca s pc	surfovanie po webe	diskoteky	stanovanie	nakupovanie	kupalisko	pc hry,null,pes,priemerna,vyborny,modre,hnede,dlhe,null,biela	cierna	fialova	oranzova	zlta	ruzova	hneda	cervena	modra	zelena,fajcim prilezitostne	fajcim pravidelne,pijem prilezitostne,lev,niekoho na chatovanie,v laske vidim zmysel zivota,null,null,null,null,null,akcne	horory	serialy	komedie,null,disko	pop	hip-hop	rap	metal,null,null,slovenskej,vtipy-humor-i-zabava	parkour-breakdance-rap	cely-pokec	klub-nebespecnych-dievcat-a-este-nebezpecnejsiich-chlapcov-xp	na-pociatku-boh-stvoril-nebo-a-zem-ostatne-je-made-in-china-dd	sindicate-metin2	podme-si-dnes-uzivat-ddddppppp	dva-roky-praaaaaaazdnniin	blazovce-potopaaaa	dievcata-vs-chlapci-kto-wyhraa-d	kto-je-saleni-nech-sa-pridaa-d-d	p-a-r-t-y-s-l-o-v-n-s-k-o-2010	vazecka-mafiaa	vazecka-mafia	shanghai-club	sirko-a-plecho-d	vsetci-chandzalee-seem	vytvorme-rekord-v-najvecsom-pocte-ludi-v-jednom-klubeee-d	milujem-tha	the-annoying-orange-1	posli-to-daleej-o	bukekela-dede-je-najlepsi	milujem-ten-pocit-ked-my-vodka-jemne-hladi-hrdlo	kto-je-akurat-ozraty-ako-ja-sem-p	#	#,null,tenis,tenis,null,necitam knihy,som-kto-som	zijeme-len-raz-tak-naplno	alkaci-s-r-o	ked-nas-tu-bude-5-416-958-ludi-budeme-tu-vsetci-slovaci	zamiluj-sa-do-mna-preto-kto-naozaj-som-nie-preto-ako-vyzeram	vodka-san-nicolaus-4ewer	prazdnini	kludneee	som-aka-som-niesom-dokonala-ale-vynimocna-taku-ako-som-ja-uz-nikde-nenajdes	clovek-je-aby-zil-nie-aby-zivoty-nicil	srdcom-aj-dusou-slovak	iba-ty-tu-chybas-pridaj-sa	ou-o-o-z-o-l-z-od-p-u-3	opakovany-vtip-uz-neni-vtipom-by-senorita	dakujem-ti-za-tak-malo-a-predsa-za-tak-vela	sexovat-by-sa-malo-v-den-zacinajuci-na-p-teda-v-pondelok-piatok-aj-predvcerom-pozajtra-tiez-po-ranajkach-popoludni-a-vobec-kazdy-posrany-den-dd	kto-si-misli-ze-hezky_boy-je-najkrajsi-chalan-na-nete	posli-dalej-1	vazec-je-nas-a-nedame-si-ho	lubime-nikky	hip-hop-vladne-svetu-1	chalani-a-dzivcata-podce-thu-najjkrasa-baba-alebo-chalan-na-pokeci	akokolvek-sa-snazis-hrat-v-zivote-podla-pravidiel-nakoniec-zistis-ze-ti-co-podla-pravidiel-nikdy-nehraju-su-stastnejsi-ako-ty	bob-marley-a-jeho-ganja-gun-d-d-d	vstan-a-zi	#	#,rytmus-kral	prekliata-skola	jozo-raz	daniel-landa-4	spolok-hip-hop	eminem-slim-shady-1	xd_prava-basqa-xd_	respekt-nova-vlna,vazeeec-4-ever,sme-kto-sme-ale-predsa-len	kefa-klub,milujeeeeeeeeeeeem-ked-mi-povie-luubiiiiim-ta	milujem-svoju-lasku	slzy-ti-nevratia-co-osud-vzal-vratia-len-bolest-smutok-a-zial	prepac-ale-ja-ta-nelubim-ja-ta-milujem	sklamala-som-ta-odpust-mi-to-vsetkym-ktory-aspon-raz-niekoho-sklamali	srdcu-nerozkazes-srdce-si-vybera-samo	chybas-mi-laska	ked-ti-odomna-pride-pozvanka-mam-ta-rada	zijem-pre-ludi-ktory-ziju-pre-mna	to-co-urobis-je-viac-ako-to-co-len-povies	ked-ti-poslem-tuto-pozvanku-mam-ta-rada	priatelia-nadovsetko	chlapcov-treba-luubit	nebud-smutny-bud-vesely	milujem-ta-ale-ty-mna-nie	chalani-by-mali-pochopit-ze-milujem-ta-sa-hovori-iba-jednej-babe	laska-je-nekonecna	mylujem-ale-nezabudam	pravda-boli-ale-klamstvo-boli-ale-laska-boli-najviac	lubim-ta-ty-mna-nie-milujem-ta-ty-mna-nie-proste-ta-zboznujem-kiss	dovera-je-ako-sklo-staci-ak-padne-len-raz	maam-ce-radaa-posli-pozvanku-koho-mas-rad-a	je-pekne-milovat-ale-krajsie-byt-milovany	chces-kiss-pridaj-sa	klub-pre-tich-ktori-maju-svoju-lasku	ty-si-moja-droga	kto-ziarli-ten-miluje-1	nezaujima-ma-ako-vyzeras-ale-aky-v-skutocnosti-si	pozvi-tu-tych-na-ktorych-ti-zalezi	niektory-ludia-vas-ignoruju-zatial-co-vam-puka-srdce	ja-ta-neluubim-ale-ja-ta-totiz-milujem	milujem-a-nedokazem-prestat	don-t-cry-say-fuck-you-and-smile-4	niekedy-je-lepsie-mlcanie-pravda-obcas-boli-viac-ako-skurwene-klamstvo	#	#,kofola-z-blyzuje-a-alkohol-spaja	vrutky-1,mame-radi-pokec-facebook	cely-pokec-napchame-do-tohto-klubu	mam-rad-svoje-dievca-chalana	mam-ta-velmi-rada-3	kefa-lubime-ta,null,do-tohto-klubu-natrieskame-komplet-celyy-pokec	facebook-31	lubim-vasssssss,milujem-ten-pocit-ked-mozem-ucke-zrat-nervy-d	skola-fuj-blee	prazdniny-sa-pomaly-ale-isto-koncia	ser-na-to-uc-sa	7-nasa-trieda,cristiano-ronaldo-dos-santos-aveiro	cr7	cr7-portugal	c-ronaldo-tomas-zubaj,lets-dance-2	scary-movie-1-5	nikdy-to-nevzdavaj	vaztania-su-supeeer	vaztania-su-supeeer-proste-naaj-d	nesputany-anjel-maricuj,nasi-best-friends,najvacsi-frajeri-a-frajerky-su-z-vazca	ak-ta-nieco-trapi-pridaj-sa-do-klubu,null
1500,0,66,0,bratislavsky kraj	bratislava - okolie,0,null,nemecky	rusky,sportovanie	fotografovanie	cestovanie	pocuvanie hudby	pozeranie filmov	malovanie	tancovanie	diskoteky	kupalisko	jedlo	kino	party	priatelia	spanie	nakupovanie	sex	stanovanie,pri telke	pri svieckach s partnerom	v posteli,pes	macka	kocur,priemerna,null,zelene,hnede,dlhe,zakladne,zelena,fajcim prilezitostne,abstinent,strelec,dobreho priatela	priatelku,nie je nic lepsie	ako byt zamilovany(a),to skutocne zalezi len na okolnostiach,laskou mojho zivota,slobodny(a),null,v buducnosti chcem mat deti,horory	komedie	eroticke,v kine	doma z gauca	u priatela	priatelky,trance	disko	hip-hop	rap,na posteli	vo vani	na dobru noc	s partnerom	na diskoteke	na koncerte	pri sexe	pri chodzi	kedykolvek a kdekolvek	v aute	v praci,ist do kina alebo divadla	ist na koncert	s kamaratmi do baru	pocuvat dobru hudbu	pozerat dobry film v tv	surfovat na sieti a chatovat	pri svieckach s partnerom,talianskej,null,null,futbal	volejbal,null,null,necitam knihy,null,null,null,null,ked-ta-niekto-sklame-pomoz-mu-nebud-ako-on-wed-swet-patri-sklamanym-nie-tym-co-sklamali,null,null,null,null,sindolka,null,null,null,null,null
1655,0,84,0,trnavsky kraj	senica,0,null,anglicky	slovenski,sportovanie	fotografovanie	cestovanie	turistika	domace prace	hackovanie	vysivanie	prace v zahrade	prace okolo domu	praca s pc	pc hry	surfovanie po webe	pocuvanie hudby	malovanie	tancovanie	diskoteky	kupalisko	varenie	jedlo	kino	party	priatelia	spanie	divadlo	nakupovanie	stanovanie	chodenie do muzei,pri telke	pri svieckach s partnerom	v dobrej restauracii	v prirode	v posteli,pes,velka a pekna,vyborny,modre,blond,po plecia,null,biela	cervena	fialova	oranzova	ruzova	zlta,nefajcim,abstinent,blizenci,dobreho priatela	priatelku	niekoho na chatovanie,v laske vidim zmysel zivota,nedokazem mat s niekym sex bez lasky,laskou mojho zivota,slobodny(a),null,null,akcne	umelecke	horory	komedie	romanticke	serialy	muzikaly	rodinne,v kine	doma z gauca	u priatela	priatelky,disko	house	techno	rap	muzikaly	sladaky	klasicka hudba	opery,na posteli	vo vani	na dobru noc	s partnerom	na diskoteke	na koncerte	pri chodzi	kedykolvek a kdekolvek,ist do kina alebo divadla	nieco dobre uvarit	ist na koncert	s kamaratmi do baru	pocuvat dobru hudbu	pozerat dobry film v tv	pc hry	citat dobru knihu	surfovat na sieti a chatovat	pri svieckach s partnerom,slovenskej	francuzskej	talianskej	greckej	cinskej	indickej	japonskej	mexickej	vegetarianskej,ak-si-moj-priatel-dostanes-pozvanku	vsetci-co-lubia-lizatka-patria-sem	klub-salenych-xd	d-ake-sme-take-sme-proste-sme-baby-p	p-upiri-d	hudba-je-najlepsi-priatel-cloveka-pdp	kto-ma-najlepsieho-kamarata-na-s-a-b-k-j-n-m-t-r-p,null,aerobik	auto-moto sporty	baseball	basketbal	bedminton	behanie	bezkovanie	bojove sporty	clnkovanie	veslovanie	futbal	golf	hadzana	hokej	horolezectvo	kolieskove korcule	korculovanie	lyzovanie	paragliding	pingpong	plavanie	posilnovanie	skateboarding	snowboarding	squash	surfing	tenis	windsurfing,aerobik	auto-moto sporty	baseball	basketbal	bedminton	behanie	bezkovanie	bojove sporty	clnkovanie	veslovanie	futbal	golf	hadzana	hokej	horolezectvo	kolieskove korcule	korculovanie	lyzovanie	paragliding	pingpong	plavanie	posilnovanie	rafting	skateboarding	snowboarding	squash	surfing	tenis	windsurfing,null,rozpravky	o zabave	hry	humor	poeziu	historicke romany	literaturu faktu	zivotopisne a pamate	cudzojazycnu literaturu,ked-nas-tu-bude-5-416-958-ludi-budeme-tu-vsetci-slovaci	freestyle-na-motorke	samota-nas-zabija-chceme-chlapcov	bmx-8	leto-mi-bude-chybat,jimi-blue	king-of-pop-michael-jackson-1,autobazar-eu,null,vsetqy-dievcata-sem	to-co-urobis-je-viac-ako-to-co-len-povies	kto-je-zamilovany-nech-sa-prida	kto-ma-koho-rad,peace-12	peace-and-love-7,cely-pokec-napchame-do-tohto-klubu	airosoft,null,null,kto-miluje-justina-biebera-sem	skolaaa-fuuj-d-d	nemas-rad-skolu-tak-pot-do-klubu,bmx-club-zahorie	counter-strike-5	ms-3	pavol-demitra-38-nas-kapitan-nas-pan-ostanes-navzdy-v-nasich-r-i-p-t_t,the-simpsons	harry-potter	the-twilight-saga-900	the-vampire-diaries-12,null,null,neznasame-reklamy
1650,1,69,1,trnavsky kraj	senica,20,gastronomie,nemecky,pogo,null,null,null,nosim okuliare,hnede,plave,null,zakladne,null,fajcim pravidelne,pijem prilezitostne,null,null,romanticka laska nie je pre mna	davam prednost realite,null,null,null,null,null,null,null,punk,null,null,null,null,null,null,null,pestovatel,null,f-i-g-h-t	hooligans-1,rozpor	oi-oi-oi-stan-sa-jednym-snas-a-bud-ako-my-antifa,null,antifa-1,null,null,null,null,null,null,muay-thai-mma-ufc	hooligans-o_o,null,null,null,null
1865,1,57,1,nitriansky kraj	sahy,24,null,anglicky	madarsky,surfovanie po webe	pocuvanie hudby	diskoteky	party	spanie,v dobrej restauracii,nemam ziadne,priemerna,vyborny,hnede,cierne,null,stredoskolske,null,fajcim prilezitostne,pijem prilezitostne,vodnar,dobreho priatela	priatelku	vaznu znamost,v laske vidim zmysel zivota,to skutocne zalezi len na okolnostiach,mojou chybajucou polovickou,slobodny(a),null,null,akcne	dramy	horory	komedie	serialy,doma z gauca,disko	hitparadovky	pop	rap	oldies	sladaky,na posteli,s kamaratmi do baru,null,null,null,auto-moto sporty	bojove sporty	plavanie,auto-moto sporty	bojove sporty,null,necitam knihy,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1975,1,17,0,trenciansky kraj	bojnice,19,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,myslim si,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2685,1,88,1,trnavsky kraj	senica,19,stavebnictva,anglicky,sportovanie	cestovanie	turistika	praca s pc	pc hry	surfovanie po webe	pocuvanie hudby	pozeranie filmov	tancovanie	kupalisko	jedlo	priatelia	stanovanie	spievanie,pri telke	v dobrej restauracii	v prirode,null,vysportovana,vyborny,hnede,hnede,kratke,zakladne,cervena	modra	zelena	zlta,fajcim prilezitostne,pijem prilezitostne,null,vaznu znamost,v laske vidim zmysel zivota,nedokazem mat s niekym sex bez lasky,mojou chybajucou polovickou	laskou mojho zivota,slobodny,v buducnosti chcem mat,null,akcne	umelecke	horory	komedie	serialy	sci-fi	vojnove	historicke	zahadne	mysteriozne,v kine	doma,pop	rap	sladaky	hitparadovky	disko,na posteli	s partnerom	pri chodzi,pocuvat dobru hudbu	ist do posilnovne	pozerat dobry film v tv	s kamaratmi do baru,slovenskej	cinskej	japonskej,parkour-breakdance-rap	b-boys-senica	posli-tuto-pozvanku-vsem-ktere-nechces-nikdy-ztratit	doxx-play-senica	kdo-lubi-natusku242-nech-sa-jebnee-do-tohoto-klubu	otvorena-ulica-d	fa-senica,null,biliard	snooker	behanie	horolezectvo	posilnovanie,bojove sporty	futbal	hokej	horolezectvo	posilnovanie,robotnik,pocitacovu literaturu	odbornu literaturu	o zabave	hry	humor,som-kto-som	milujem-ten-pocit-ked-mam-sluchadla-v-usiach-a-nevnimam-okolity-svet	posli-sem-vsetkych-svojich-priatelov-mozno-sa-nam-podari-pozbierat-vsetkych-ludi-z-pokecu	nikdy-nezabudnem-nato-co-sme-spolu-prezili-ty-a-ja	rasizmus-2,enrique-iglesias	kontrafakt	stress-breakout	fanclub-ockaa	h16	moj-zivot-2011	mc-life-2012,null,null,ked-ti-odomna-pride-pozvanka-mam-ta-rada	to-co-urobis-je-viac-ako-to-co-len-povies	mas-ma-aspon-trosku-rad-a-tak-sa-pridaj-do-klubu-d	nejde-o-to-ako-clovek-vyzera-ale-o-to-ake-ma-srdiecko	chyba-mi-niekto	si-jediny-pametaj-ze-premna-nieje-ziadny-iny-lubim-ta-anielik-moj	milujem-ta-54	best-friends-35	nikdy-vas-necem-stratit,bboying,cely-pokec-napchame-do-tohto-klubu	streetdance,thyy-patriis-do-mojho-srdiecka-3,pokec,null,freerunnunig	fk-senica	breakdance-my-life	majstrovstva-sveta-v-hokeji-2011-na-slovensku,twilight-saga-zatmenie	m_a_f_s_t_o_r_y,senica,pomoc-chorym-detom	stop-tyraniu-zvierat-10,null
2813,0,86,1,trnavsky kraj	skalica,20,null,nemecky,praca s pc	pc hry	surfovanie po webe	pocuvanie hudby	pozeranie filmov	kupalisko	kino	party	priatelia	spanie	nakupovanie	sex	stanovanie,pri telke	pri svieckach s partnerom	v posteli,nemam ziadne,priemerna,vyborny,zelene	zeleno-modre,hnede,kratke,ucnovske,biela	cierna,fajcim prilezitostne,pijem prilezitostne,vahy,niekoho na chatovanie	dobreho priatela	priatelku,nie je nic lepsie	ako byt zamilovany(a),sex mozem mat iba s niekym	koho dobre poznam,mojou chybajucou polovickou,slobodny(a),null,v buducnosti chcem mat deti,akcne	horory	komedie	serialy,v kine	doma z gauca	u priatela	priatelky,punk	rock,na dobru noc	s partnerom	na koncerte	pri sexe	kedykolvek a kdekolvek,s kamaratmi do baru	pocuvat dobru hudbu	surfovat na sieti a chatovat	pri svieckach s partnerom,talianskej,i-love-pogo	som-spermia-ktora-to-vyhrala-d	no-fear-1,pravidelne,kolieskove korcule	plavanie	posilnovanie,auto-moto sporty	bojove sporty	clnkovanie	veslovanie	futbal	hokej	tenis,null,o zabave	hry	humor,punk-s-not-dead	najkrajsie-mesto-skalica	chlastajuc-pod-hviezdami-cele-leto	radsej-budem-pit-ako-sa-mam-bit-a-vsetkym-fasom-ukazem-rit	punk-s-not-dead-voleeeeeee	cuco-banda	punks-and-oi-united	zamiluj-sa-do-mna-preto-kto-naozaj-som-nie-preto-ako-vyzeram	chaos-is-my-live	naco-nazov-xp	acab	ja-chci-zit-nonstop	milujes-niekoho-stan-sa-clenom-tohto-klubu-d	s-hrdostou-skinheada-a-usmevom-punkaca-bude-tento-svet-krajsi	punk-a-punkova-hudba-to-je-nas-svet	anti-hip-hop-3	pre-samice-a-samcov	zbohem-at-je-stebou-buch,oi-punk-hc-ska	rozpor	radimovska-sopa	punk-punk-a-len-punk	kofolaa-zbizujee-a-punk-and-alkohol-zblizuee-a-vyhravaa	mentalne-narusena-moucha,null,antifa-1	pre-krasnich-ludi	pre-hriesnice,nevies-saa-rozhodnut-rozhodni-sa-srdcom	to-co-urobis-je-viac-ako-to-co-len-povies	priatelia-nadovsetko	loobim-tych-na-ktorych-mi-zalezi-d	tazke-je-zabudnut-ked-si-v-mojom-srdci-ale-ty-to-nechapes-a-mal-by-si-nevies-ako-to-bolii-hrozne	antirasisti	best-friends-4ever-3,null,cely-pokec-napchame-do-tohto-klubu	iba-pre-pouzivatelov-pokecu	hriesne-chutky-p,null,null,null,null,twilight-saga-1,null,alkohol_dela_z_lidi_e-e	stop-tyraniu-zvierat-10,null
2929,0,64,1,trenciansky kraj	dubnica nad vahom,21,dopravy,anglicky	nemecky,sportovanie	fotografovanie	cestovanie	turistika	domace prace	hackovanie	vysivanie	sitie	prace v zahrade	prace okolo domu	praca s pc	pc hry	surfovanie po webe	citanie	pocuvanie hudby	pozeranie filmov	zberatelstvo	chovatelstvo	malovanie	tancovanie	diskoteky	kupalisko	varenie	jedlo	kino	party	priatelia	spanie	divadlo	nakupovanie	sex	stanovanie	chodenie do muzei,pri telke,macka,priemerna,vyborny,zelene,null,null,zakladne,cervena	zelena,fajcim pravidelne,bez komentara,vodnar,null,null,no koment,null,slobodny(a),null,null,null,to je jedno,null,null,alkohol,francuzskej	talianskej	greckej	cinskej	japonskej	vegetarianskej,null,null,null,null,null,necitam knihy,null,null,null,null,null,null,null,null,null,extremna-premena-v-photoshope-to-musite-vidiet,null,null,null,null,null
28,1,66,0,trnavsky kraj	senica,21,som nezamestnany	skolstva,anglicky,fotografovanie	cestovanie	surfovanie po webe	pocuvanie hudby	pozeranie filmov	diskoteky	kupalisko	varenie	kino	party	priatelia	spanie	nakupovanie,pri telke	pri svieckach s partnerom	v dobrej restauracii	v posteli	z partnerovho bruska,null,priemerna,null,hnede,cierne,kucerave,zakladne,cervena	modra	oranzova	ruzova	zelena	zlta,fajcim prilezitostne,pijem prilezitostne,ryby,dobreho priatela	priatelku	niekoho na chatovanie,nie je nic lepsie	ako byt zamilovany(a),to skutocne zalezi len na okolnostiach,laskou mojho zivota,slobodny(a),null,null,horory	komedie	romanticke	serialy	rodinne,v kine	doma z gauca	u priatela	priatelky,disko	hitparadovky	pop	soundtracky	sladaky,na posteli	vo vani	na dobru noc	na diskoteke	pri chodzi	kedykolvek a kdekolvek,ist do kina alebo divadla	s kamaratmi do baru	pocuvat dobru hudbu	pozerat dobry film v tv	surfovat na sieti a chatovat	pri svieckach s partnerom,slovenskej	talianskej	cinskej	morske zivocichy,null,null,kolieskove korcule	korculovanie	plavanie,null,null,o zabave	hry	humor,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2982,1,64,1,bratislavsky kraj	bratislava - karlova ves,25,studujem,anglicky	francuzsky,null,v kuchyni pri stole	pri telke	v posteli,mam psa,priemerna,vyborny,hnede,hnede,kucerave,null,biela	cervena	modra,nefajcim,abstinent,lev,dobreho priatela	priatelku	niekoho na chatovanie,v laske som sa sklamal(a)	preto som velmi opatrny(a),nedokazem mat s niekym sex bez lasky,null,slobodny(a),null,null,null,null,disko	hitparadovky	house	techno	pop	rap,na posteli	na diskoteke	na koncerte	pri chodzi,pocuvat dobru hudbu	surfovat na sieti a chatovat	s kamaratmi do baru	pozerat dobry film v tv,slovenskej	talianskej,pokecovi-ateisti	dulce-maria-je-s-nami,ja na koncerty nechodim,null,auto-moto sporty	futbal	hokej	tenis,null,necitam knihy,s-r-o-swistov-a-swistuliek	dulce-maria-a-my	kyklopovo	kazdi-sme-si-pre-seba-cudzi	milujem-moju-lasku-1,jeedine-h16	rytmusjepan-com	rytmuuuuuuuus-xd	kontrafak-t-to-su-ty-chlapci-z-piestan,null,null,null,null,kamarati-navzdy-7,null,null,null,null,null,milujem-celym-srdcom-egypt,null,null
